msm.new.ref.locus.tag,msm.locus.tag,mtb.locus.tag,mtb.gene.name,fident,alnlen,mismatch,gapopen,qstart,qend,tstart,evalue,bits
LJ00_RS01145,MSMEG_0230,Rv0190,NA,0.8,95,19,0,7,101,2,4.62E-46,156
LJ00_RS02065,MSMEG_0418,Rv0248c,NA,0.8,646,127,0,1,635,1,0,1060
LJ00_RS32530,MSMEG_6647,Rv1131,prpC,0.8,375,74,0,1,375,17,1.04E-197,609
LJ00_RS25125,MSMEG_5139,Rv1162,narH,0.8,548,109,0,1,545,1,1.05E-304,945
LJ00_RS24190,MSMEG_4951,Rv1298,rpmE,0.8,75,15,0,1,75,1,3.28E-37,129
LJ00_RS24105,MSMEG_4934,Rv1314c,NA,0.8,190,38,0,1,190,1,3.23E-101,320
LJ00_RS15335,MSMEG_3118,Rv1457c,NA,0.8,261,52,0,1,261,1,3.91E-134,419
LJ00_RS18370,MSMEG_3740,Rv1711,NA,0.8,245,49,0,3,247,10,9.24E-135,420
LJ00_RS17895,MSMEG_3640,Rv1837c,glcB,0.8,730,145,0,1,730,1,0,1194
LJ00_RS13400,MSMEG_2729,Rv2733c,NA,0.8,511,102,0,1,510,1,2.14E-275,841
LJ00_RS29385,MSMEG_6008,Rv3556c,fadA6,0.8,386,76,0,1,382,1,2.07E-210,646
LJ00_RS28240,MSMEG_5773,Rv0824c,desA1,0.8,315,63,0,7,321,6,8.69E-179,552
LJ00_RS00510,MSMEG_0102,Rv0154c,fadE2,0.799,403,81,0,5,407,1,5.54E-221,678
LJ00_RS27290,MSMEG_5580,Rv0937c,mku,0.799,269,54,0,1,269,1,3.82E-145,454
LJ00_RS22390,MSMEG_4578,Rv2418c,NA,0.799,244,49,0,7,250,2,1.63E-139,434
LJ00_RS23080,MSMEG_4724,Rv2511,orn,0.799,209,42,0,1,209,1,1.50E-110,348
LJ00_RS13690,MSMEG_2788,Rv2670c,NA,0.799,349,68,0,1,339,13,2.65E-180,557
LJ00_RS08965,MSMEG_1817,Rv3277,NA,0.799,223,45,0,1,223,50,4.81E-113,356
LJ00_RS08410,MSMEG_1703,Rv3305c,amiA1,0.799,369,74,0,1,369,18,1.80E-206,634
LJ00_RS02050,MSMEG_0415,Rv0245,NA,0.798,159,32,0,2,160,3,1.14E-81,262
LJ00_RS07165,MSMEG_1451,Rv0711,atsA,0.798,779,157,0,5,783,9,0,1382
LJ00_RS28535,MSMEG_5834,Rv0786c,NA,0.798,208,42,0,1,208,1,2.64E-114,359
LJ00_RS20995,MSMEG_4285,Rv2217,lipB,0.798,218,43,0,3,220,4,4.58E-116,365
LJ00_RS14935,MSMEG_3036,Rv2533c,nusB,0.798,154,31,0,1,154,1,3.21E-78,252
LJ00_RS11385,MSMEG_2317,Rv3045,adhC,0.798,347,70,0,1,347,1,9.09E-186,573
LJ00_RS05115,MSMEG_1037,Rv3045,adhC,0.798,347,70,0,1,347,1,9.09E-186,573
LJ00_RS11385,MSMEG_1037,Rv3045,adhC,0.798,347,70,0,1,347,1,9.09E-186,573
LJ00_RS05115,MSMEG_2317,Rv3045,adhC,0.798,347,70,0,1,347,1,9.09E-186,573
LJ00_RS08210,MSMEG_1662,Rv3329,NA,0.798,436,87,0,25,460,2,1.10E-239,735
LJ00_RS30200,MSMEG_6173,Rv3661,NA,0.798,288,57,0,5,292,1,4.23E-149,464
LJ00_RS33840,MSMEG_6917,Rv0041,leuS,0.797,951,191,0,12,953,19,0,1626
LJ00_RS28660,MSMEG_5859,Rv0768,aldA,0.797,488,99,0,1,488,1,9.15E-265,809
LJ00_RS26960,MSMEG_5515,Rv0957,purH,0.797,524,105,0,4,527,7,4.17E-284,867
LJ00_RS22025,MSMEG_4504,Rv2373c,dnaJ2,0.797,382,77,0,1,381,1,4.40E-210,645
LJ00_RS11610,MSMEG_2364,Rv3012c,gatC,0.797,99,20,0,1,99,1,3.79E-47,159
LJ00_RS03670,MSMEG_0744,Rv0375c,NA,0.796,285,57,0,15,294,1,2.39E-148,462
LJ00_RS24015,MSMEG_4915,Rv1328,glgP,0.796,866,176,0,1,866,1,0,1440
LJ00_RS15255,MSMEG_3102,Rv1448c,tal,0.796,369,75,0,2,369,3,3.18E-191,590
LJ00_RS19025,MSMEG_3873,Rv2066,cobIJ,0.796,496,100,0,7,502,5,6.54E-258,790
LJ00_RS21205,MSMEG_4328,Rv2246,kasB,0.796,417,85,0,1,417,22,1.99E-228,700
LJ00_RS12850,MSMEG_2614,Rv2851c,NA,0.796,157,32,0,1,157,1,8.54E-83,265
LJ00_RS09020,MSMEG_1829,Rv3262,fbiB,0.796,447,90,0,8,454,5,2.79E-234,719
LJ00_RS30345,MSMEG_6202,Rv3683,NA,0.796,314,64,0,15,328,6,3.91E-176,544
LJ00_RS02970,MSMEG_0603,Rv0271c,fadE6,0.795,734,150,0,1,734,1,0,1200
LJ00_RS03880,MSMEG_0786,Rv0410c,pknG,0.795,742,152,0,19,760,10,0,1223
LJ00_RS25275,MSMEG_5170,Rv1155,NA,0.795,147,30,0,1,147,1,4.28E-77,248
LJ00_RS10495,MSMEG_2130,Rv1346,mbtN,0.795,376,77,0,8,383,7,5.89E-201,619
LJ00_RS22410,MSMEG_4582,Rv2425c,NA,0.795,485,98,0,1,485,1,1.09E-260,797
LJ00_RS10300,MSMEG_2090,Rv3101c,ftsX,0.795,298,61,0,1,298,1,2.55E-157,488
LJ00_RS09570,MSMEG_1939,Rv3204,NA,0.795,98,20,0,1,98,1,1.79E-46,157
LJ00_RS08185,MSMEG_1657,Rv3336c,trpS,0.795,332,68,0,3,334,5,1.04E-178,552
LJ00_RS31090,MSMEG_6353,Rv3774,echA21,0.795,274,55,0,1,271,1,7.89E-140,436
LJ00_RS20490,MSMEG_4181,Rv2122c,hisE,0.795,93,19,0,1,93,1,6.99E-46,155
LJ00_RS31695,MSMEG_6477,Rv0137c,msrA,0.794,170,35,0,1,170,1,1.16E-94,300
LJ00_RS04525,MSMEG_0917,Rv0473,NA,0.794,428,88,0,12,438,29,1.77E-231,710
LJ00_RS04665,MSMEG_0946,Rv0501,galE2,0.794,360,74,0,16,374,6,2.95E-185,573
LJ00_RS15075,MSMEG_3065,Rv1407,fmu,0.794,452,93,0,7,458,3,1.51E-237,729
LJ00_RS20670,MSMEG_4217,Rv2145c,wag31,0.794,272,53,0,1,272,1,7.08E-133,416
LJ00_RS07690,MSMEG_1557,Rv3442c,rpsI,0.794,151,31,0,1,150,1,5.43E-76,245
LJ00_RS30830,MSMEG_6301,Rv3730c,NA,0.794,335,69,0,1,335,1,1.07E-192,593
LJ00_RS13630,MSMEG_2776,Rv2682c,dxs1,0.794,638,131,0,1,638,1,0,1062
LJ00_RS09310,MSMEG_1886,Rv3229c,desA3,0.794,418,86,0,1,417,1,2.05E-237,726
LJ00_RS01595,MSMEG_0320,Rv0230c,php,0.793,325,67,0,1,325,1,2.84E-178,550
LJ00_RS15815,MSMEG_3216,Rv1608c,bcpB,0.793,150,31,0,1,150,1,3.10E-74,240
LJ00_RS15840,MSMEG_3221,Rv1613,trpA,0.793,261,54,0,2,262,10,4.92E-132,413
LJ00_RS18460,MSMEG_3758,Rv1689,tyrS,0.793,422,87,0,8,429,5,1.94E-229,704
LJ00_RS09660,MSMEG_1959,Rv3193c,NA,0.793,1002,205,0,1,1002,1,0,1652
LJ00_RS08400,MSMEG_1701,Rv3307,deoD,0.793,261,54,0,3,263,7,2.43E-132,414
LJ00_RS28820,MSMEG_5892,Rv3490,otsA,0.793,498,100,0,1,484,1,4.95E-270,825
LJ00_RS31135,MSMEG_6363,Rv3778c,NA,0.793,398,82,0,1,398,1,1.93E-210,647
LJ00_RS03905,MSMEG_0791,Rv0415,thiO,0.792,332,69,0,2,333,7,1.04E-176,546
LJ00_RS26560,MSMEG_5436,Rv1011,ispE,0.792,304,63,0,15,318,3,8.32E-155,482
LJ00_RS21005,MSMEG_4287,Rv2219,NA,0.792,250,52,0,1,250,1,6.92E-131,409
LJ00_RS21235,MSMEG_4334,Rv2251,NA,0.792,424,88,0,102,525,52,2.05E-228,706
LJ00_RS11255,MSMEG_2291,Rv3057c,NA,0.792,280,58,0,4,283,7,7.15E-149,463
LJ00_RS11255,MSMEG_1011,Rv3057c,NA,0.792,280,58,0,4,283,7,7.15E-149,463
LJ00_RS04975,MSMEG_2291,Rv3057c,NA,0.792,280,58,0,4,283,7,7.15E-149,463
LJ00_RS04975,MSMEG_1011,Rv3057c,NA,0.792,280,58,0,4,283,7,7.15E-149,463
LJ00_RS08700,MSMEG_1764,Rv3290c,lat,0.792,429,89,0,23,451,17,1.97E-229,705
LJ00_RS26495,MSMEG_5423,Rv1020,mfd,0.791,1223,254,0,1,1214,1,0,1967
LJ00_RS25025,MSMEG_5121,Rv1178,NA,0.791,359,75,0,7,365,2,1.19E-191,591
LJ00_RS15725,MSMEG_3198,Rv1593c,NA,0.791,225,46,0,1,221,10,6.71E-117,367
LJ00_RS09325,MSMEG_1889,Rv3228,NA,0.791,326,67,0,8,329,5,1.57E-172,534
LJ00_RS33805,MSMEG_6907,Rv0044c,NA,0.79,258,53,0,5,262,11,5.99E-140,436
LJ00_RS01910,MSMEG_0384,Rv0334,rmlA,0.79,287,60,0,1,287,1,3.58E-157,487
LJ00_RS27565,MSMEG_5636,Rv0908,ctpE,0.79,791,165,0,5,791,7,0,1238
LJ00_RS24365,MSMEG_4985,Rv1284,canA,0.79,162,34,0,1,162,1,3.82E-86,275
LJ00_RS15015,MSMEG_3053,Rv1390,rpoZ,0.79,110,22,0,1,107,1,7.49E-52,173
LJ00_RS23070,MSMEG_4722,Rv2509,NA,0.79,267,56,0,1,267,1,2.02E-136,426
LJ00_RS11580,MSMEG_2358,Rv3024c,trmU,0.79,353,74,0,1,353,1,2.11E-188,581
LJ00_RS09640,MSMEG_1954,Rv3197,NA,0.79,444,93,0,1,444,1,2.51E-239,733
LJ00_RS07700,MSMEG_1559,Rv3441c,mrsA,0.79,450,93,0,1,450,1,2.06E-228,702
LJ00_RS01105,MSMEG_0222,Rv0184,NA,0.789,247,51,0,1,245,1,2.34E-124,390
LJ00_RS02990,MSMEG_0608,Rv0274,NA,0.789,190,40,0,1,190,1,3.06E-106,335
LJ00_RS18575,MSMEG_3781,Rv1645c,NA,0.789,345,70,0,10,344,7,3.99E-193,594
LJ00_RS17755,MSMEG_3612,Rv1863c,NA,0.789,256,54,0,1,255,1,1.11E-136,426
LJ00_RS18205,MSMEG_3706,Rv1916,aceAb,0.789,399,83,0,370,768,2,1.76E-206,655
LJ00_RS20530,MSMEG_4189,Rv2130c,mshC,0.789,414,87,0,1,412,1,4.54E-234,716
LJ00_RS22935,MSMEG_4695,Rv2470,glbO,0.789,128,27,0,1,128,1,2.07E-67,219
LJ00_RS30745,MSMEG_6284,Rv3720,NA,0.789,418,88,0,18,435,1,3.14E-233,715
LJ00_RS31435,MSMEG_6423,Rv3842c,glpQ1,0.789,257,54,0,18,274,11,1.04E-141,442
LJ00_RS33905,MSMEG_6933,Rv3913,trxB2,0.789,304,64,0,7,309,14,8.54E-159,493
LJ00_RS21850,MSMEG_4467,Rv2317,uspB,0.789,275,58,0,1,275,1,1.92E-140,438
LJ00_RS27595,MSMEG_5642,Rv0904c,accD3,0.788,492,103,0,1,489,1,8.52E-248,760
LJ00_RS18410,MSMEG_3748,Rv1697,NA,0.788,393,83,0,1,393,1,2.32E-208,641
LJ00_RS14475,MSMEG_2944,Rv2593c,ruvA,0.788,194,41,0,1,194,1,6.53E-96,305
LJ00_RS13610,MSMEG_2772,Rv2690c,NA,0.788,657,139,0,4,660,1,0,1040
LJ00_RS17430,MSMEG_3543,Rv2878c,mpt53,0.788,156,33,0,22,176,18,2.50E-80,259
LJ00_RS11635,MSMEG_2369,Rv3006,lppZ,0.788,373,79,0,1,373,1,3.66E-208,639
LJ00_RS11605,MSMEG_2363,Rv3013,NA,0.788,217,46,0,6,222,3,6.68E-109,344
LJ00_RS08120,MSMEG_1645,Rv3359,NA,0.788,392,82,0,10,401,10,1.64E-207,639
LJ00_RS07765,MSMEG_1573,Rv3433c,NA,0.788,473,99,0,1,470,1,1.38E-241,741
LJ00_RS15765,MSMEG_3206,Rv1600,hisC1,0.788,377,80,0,2,378,4,7.05E-195,601
LJ00_RS00160,MSMEG_0032,Rv0017c,rodA,0.787,471,100,0,1,471,1,2.45E-244,749
LJ00_RS20885,MSMEG_4262,Rv2195,qcrA,0.787,396,84,0,5,400,31,1.03E-219,674
LJ00_RS08570,MSMEG_1735,Rv3303c,lpdA,0.787,471,100,0,1,471,1,2.93E-242,743
LJ00_RS08155,MSMEG_1651,Rv3341,metA,0.787,372,79,0,9,380,2,9.52E-201,618
LJ00_RS33775,MSMEG_6900,Rv0050,ponA1,0.787,680,143,0,81,760,1,0,1095
LJ00_RS03690,MSMEG_0748,Rv0370c,NA,0.786,286,60,0,12,292,3,4.14E-143,447
LJ00_RS18485,MSMEG_3763,Rv1686c,NA,0.786,225,48,0,50,274,1,3.82E-115,365
LJ00_RS20985,MSMEG_4283,Rv2215,dlaT,0.786,585,118,0,1,585,1,7.31E-289,884
LJ00_RS08240,MSMEG_1667,Rv3327,NA,0.786,192,41,0,1,192,370,4.48E-100,317
LJ00_RS08005,MSMEG_1622,Rv3394c,NA,0.786,527,112,0,1,525,1,1.90E-274,839
LJ00_RS07890,MSMEG_1599,Rv3414c,sigD,0.786,192,41,0,1,192,22,3.09E-94,300
LJ00_RS30735,MSMEG_6282,Rv3718c,NA,0.786,145,31,0,1,145,1,2.34E-74,240
LJ00_RS04700,MSMEG_0954,Rv0511,hemD,0.786,565,120,0,79,643,2,9.55E-297,910
LJ00_RS28655,MSMEG_5858,Rv0769,NA,0.785,247,53,0,8,254,2,6.52E-125,392
LJ00_RS24735,MSMEG_5060,Rv1236,sugA,0.785,307,65,0,1,305,1,7.80E-157,487
LJ00_RS24020,MSMEG_4916,Rv1327c,glgE,0.785,689,147,0,3,691,16,0,1166
LJ00_RS19085,MSMEG_3885,Rv2092c,helY,0.785,904,193,0,9,912,6,0,1435
LJ00_RS22165,MSMEG_4532,Rv2399c,cysT,0.785,271,58,0,14,283,11,5.74E-133,417
LJ00_RS30050,MSMEG_6141,Rv2913c,NA,0.785,588,125,0,1,584,14,1.36E-304,953
LJ00_RS03665,MSMEG_0743,Rv0376c,NA,0.784,365,78,0,10,372,2,2.35E-191,591
LJ00_RS04790,MSMEG_0973,Rv0528,NA,0.784,502,107,0,1,495,8,3.66E-267,817
LJ00_RS07325,MSMEG_1484,Rv0733,adk,0.784,181,39,0,1,181,1,2.47E-91,291
LJ00_RS24415,MSMEG_4995,Rv1283c,oppB,0.784,325,70,0,1,325,1,1.31E-169,525
LJ00_RS15070,MSMEG_3064,Rv1406,fmt,0.784,306,66,0,1,306,1,7.44E-161,499
LJ00_RS20710,MSMEG_4226,Rv2152c,murC,0.784,488,103,0,1,478,1,3.07E-247,758
LJ00_RS20905,MSMEG_4267,Rv2199c,NA,0.784,139,30,0,1,139,1,8.73E-74,238
LJ00_RS22805,MSMEG_4668,Rv2900c,fdhF,0.784,767,164,0,3,764,10,0,1253
LJ00_RS29300,MSMEG_5991,Rv3541c,NA,0.784,130,27,0,1,130,1,1.37E-65,214
LJ00_RS15900,MSMEG_3233,Rv1623c,cydA,0.784,487,105,0,1,487,1,3.44E-266,813
LJ00_RS06585,MSMEG_1334,Rv0634c,NA,0.783,236,51,0,10,245,2,3.59E-127,398
LJ00_RS15360,MSMEG_3123,Rv1462,NA,0.783,398,84,0,2,399,3,1.88E-204,630
LJ00_RS20805,MSMEG_4245,Rv2179c,NA,0.783,157,34,0,1,157,1,5.05E-86,275
LJ00_RS14835,MSMEG_3016,Rv2566,NA,0.783,1111,238,0,1,1100,28,0,1827
LJ00_RS28950,MSMEG_5918,Rv3518c,cyp142,0.783,397,86,0,4,399,1,1.19E-208,642
LJ00_RS01845,MSMEG_0371,Rv0241c,htdX,0.782,271,59,0,1,271,10,1.21E-143,447
LJ00_RS28595,MSMEG_5846,Rv0778,cyp126,0.782,400,86,0,4,398,11,2.21E-210,647
LJ00_RS27425,MSMEG_5608,Rv0914c,NA,0.782,405,87,0,2,400,3,6.64E-217,666
LJ00_RS26815,MSMEG_5487,Rv0982,mprB,0.782,473,102,0,9,477,7,3.10E-234,721
LJ00_RS15710,MSMEG_3195,Rv1590,NA,0.782,69,15,0,10,78,11,4.23E-36,126
LJ00_RS18720,MSMEG_3811,Rv1636,TB15.3,0.782,147,32,0,1,147,1,8.43E-70,227
LJ00_RS20880,MSMEG_4261,Rv2194,qcrC,0.782,267,58,0,2,268,14,3.09E-140,437
LJ00_RS22360,MSMEG_4572,Rv2413c,NA,0.782,312,68,0,7,318,1,1.23E-158,493
LJ00_RS12330,MSMEG_2509,Rv2897c,NA,0.782,500,109,0,1,500,1,6.25E-258,790
LJ00_RS11765,MSMEG_2395,Rv2981c,ddlA,0.782,372,81,0,1,372,1,1.19E-194,600
LJ00_RS03660,MSMEG_0742,Rv0377,NA,0.781,321,69,0,1,317,1,7.26E-155,482
LJ00_RS04865,MSMEG_0988,Rv0534c,menA,0.781,288,63,0,1,288,1,1.59E-149,465
LJ00_RS25725,MSMEG_5261,Rv1082,mca,0.781,288,63,0,1,288,1,1.22E-160,497
LJ00_RS24125,MSMEG_4937,Rv1309,atpG,0.781,307,67,0,1,307,1,3.60E-149,465
LJ00_RS18550,MSMEG_3776,Rv1652,argC,0.781,343,75,0,2,343,10,5.89E-179,553
LJ00_RS19065,MSMEG_3881,Rv2089c,pepE,0.781,370,81,0,5,374,5,1.72E-191,591
LJ00_RS29055,MSMEG_5940,Rv3536c,hsaE,0.781,261,57,0,1,261,1,1.04E-131,412
LJ00_RS30300,MSMEG_6193,Rv3679,NA,0.781,344,74,0,1,344,2,5.25E-172,533
LJ00_RS22910,MSMEG_4690,Rv2467,pepN,0.781,858,188,0,1,858,1,0,1389
LJ00_RS00525,MSMEG_0105,Rv0844c,narL,0.78,210,46,0,7,216,7,1.07E-100,320
LJ00_RS17925,MSMEG_3646,Rv1828,NA,0.78,254,54,0,1,254,1,1.04E-119,377
LJ00_RS20920,MSMEG_4270,Rv2202c,adoK,0.78,324,71,0,1,324,1,3.19E-168,521
LJ00_RS21060,MSMEG_4298,Rv2225,panB,0.78,287,62,0,1,287,1,7.84E-148,460
LJ00_RS07425,MSMEG_1504,Rv2686c,NA,0.78,241,53,0,11,251,11,2.03E-128,402
LJ00_RS11880,MSMEG_2418,Rv2925c,rnc,0.78,228,50,0,1,228,1,2.26E-116,366
LJ00_RS24940,MSMEG_5103,Rv1202,dapE,0.78,351,77,0,3,353,2,6.45E-184,568
LJ00_RS04690,MSMEG_0952,Rv0509,hemA,0.779,448,99,0,1,448,1,4.21E-219,675
LJ00_RS04900,MSMEG_0995,Rv0539,NA,0.779,209,46,0,11,219,1,1.56E-106,337
LJ00_RS06990,MSMEG_1416,Rv0688,NA,0.779,385,85,0,9,393,17,4.99E-198,611
LJ00_RS25565,MSMEG_5228,Rv1106c,NA,0.779,353,78,0,2,354,8,5.14E-187,577
LJ00_RS12670,MSMEG_2578,Rv2870c,dxr,0.779,386,85,0,1,386,1,6.25E-197,608
LJ00_RS06640,MSMEG_1345,Rv0639,nusG,0.778,239,52,0,42,280,5,2.15E-115,366
LJ00_RS22070,MSMEG_4513,Rv2382c,mbtC,0.778,429,95,0,3,431,2,8.36E-229,702
LJ00_RS22160,MSMEG_4531,Rv2398c,cysW,0.778,271,59,0,1,271,1,5.37E-137,428
LJ00_RS10110,MSMEG_2052,Rv3156,nuoL,0.778,623,138,0,9,629,11,0,1001
LJ00_RS08150,MSMEG_1650,Rv3342,NA,0.778,239,53,0,8,245,5,2.34E-123,387
LJ00_RS33940,MSMEG_6941,Rv3920c,NA,0.778,185,40,0,1,181,1,1.96E-86,277
LJ00_RS07390,MSMEG_1497,Rv0752c,fadE9,0.777,389,86,0,6,394,4,1.71E-201,621
LJ00_RS27890,MSMEG_5703,Rv0864,moaC2,0.777,153,34,0,2,154,14,1.11E-71,233
LJ00_RS21225,MSMEG_4332,Rv2249c,glpD1,0.777,509,112,0,12,516,8,1.67E-254,781
LJ00_RS15995,MSMEG_3252,Rv2639c,NA,0.777,108,24,0,1,108,1,2.36E-56,186
LJ00_RS08095,MSMEG_1640,Rv3362c,NA,0.777,193,43,0,1,193,1,4.93E-98,311
LJ00_RS00305,MSMEG_0062,Rv3871,eccCb1,0.777,592,132,0,1,592,1,0,991
LJ00_RS24175,MSMEG_4948,Rv1301,NA,0.776,215,48,0,1,215,1,7.69E-107,338
LJ00_RS20580,MSMEG_4199,Rv2140c,TB18.6,0.776,170,38,0,4,173,7,7.64E-92,292
LJ00_RS07330,MSMEG_1485,Rv0734,mapA,0.776,264,58,0,1,264,4,3.90E-136,425
LJ00_RS03630,MSMEG_0736,Rv0383c,NA,0.775,283,62,0,1,277,1,3.71E-143,446
LJ00_RS04795,MSMEG_0974,Rv0529,ccsA,0.775,330,73,0,1,330,1,3.34E-170,527
LJ00_RS28570,MSMEG_5841,Rv0780,purC,0.775,298,66,0,1,298,1,5.93E-157,487
LJ00_RS24425,MSMEG_4997,Rv1281c,oppD,0.775,612,137,0,1,612,1,5.42E-304,938
LJ00_RS14550,MSMEG_2959,Rv2589,gabT,0.775,446,99,0,1,443,1,9.59E-234,717
LJ00_RS14450,MSMEG_2939,Rv2604c,snoP,0.775,187,42,0,5,191,6,7.91E-93,296
LJ00_RS13055,MSMEG_2657,Rv2782c,pepR,0.775,441,97,0,5,445,2,4.57E-226,695
LJ00_RS08670,MSMEG_1757,Rv3296,lhr,0.775,1505,337,0,9,1507,9,0,2356
LJ00_RS29310,MSMEG_5993,Rv3543c,fadE29,0.775,387,87,0,1,387,1,1.81E-214,658
LJ00_RS29835,MSMEG_6098,Rv3603c,NA,0.775,298,67,0,13,310,5,4.30E-151,471
LJ00_RS31150,MSMEG_6367,Rv3782,glfT1,0.775,297,66,0,4,300,2,3.36E-156,485
LJ00_RS00660,MSMEG_0132,Rv0167,yrbE1A,0.774,266,60,0,1,266,1,1.84E-136,426
LJ00_RS02105,MSMEG_0427,Rv0252,nirB,0.774,851,190,0,3,853,12,0,1347
LJ00_RS27790,MSMEG_5682,Rv0885,NA,0.774,337,76,0,1,337,1,3.17E-192,591
LJ00_RS24995,MSMEG_5114,Rv1193,fadD36,0.774,469,105,0,1,464,1,1.15E-242,744
LJ00_RS24460,MSMEG_5004,Rv1277,NA,0.774,384,86,0,1,384,35,1.64E-196,606
LJ00_RS01515,MSMEG_0304,Rv1427c,fadD12,0.774,526,119,0,16,541,8,2.29E-272,834
LJ00_RS18375,MSMEG_3741,Rv1710,scpB,0.774,217,49,0,60,276,16,2.38E-103,331
LJ00_RS23075,MSMEG_4723,Rv2510c,NA,0.774,532,118,0,1,523,1,1.59E-266,816
LJ00_RS14910,MSMEG_3031,Rv2539c,aroK,0.774,173,39,0,1,173,1,2.98E-85,277
LJ00_RS14845,MSMEG_3018,Rv2569c,NA,0.774,301,67,0,10,306,14,8.95E-156,484
LJ00_RS14755,MSMEG_3000,Rv2575,NA,0.774,297,66,0,1,297,1,1.20E-156,486
LJ00_RS09270,MSMEG_1878,Rv3241c,NA,0.774,204,46,0,28,230,11,6.88E-104,330
LJ00_RS31360,MSMEG_6409,Rv3816c,NA,0.774,262,58,0,1,262,1,8.68E-135,421
LJ00_RS15775,MSMEG_3208,Rv1602,hisH,0.773,203,46,0,3,205,4,4.04E-106,335
LJ00_RS19185,MSMEG_3905,Rv2117,NA,0.773,97,22,0,1,97,1,8.49E-46,155
LJ00_RS19195,MSMEG_3907,Rv2119,NA,0.773,265,59,0,14,275,11,2.35E-137,430
LJ00_RS21985,MSMEG_4495,Rv2366c,NA,0.773,423,96,0,1,423,1,4.82E-211,652
LJ00_RS11575,MSMEG_2357,Rv3025c,iscS,0.773,389,88,0,10,398,3,2.81E-199,615
LJ00_RS08975,MSMEG_1820,Rv3275c,purE,0.773,163,37,0,5,167,8,1.31E-75,245
LJ00_RS30115,MSMEG_6154,Rv3645,NA,0.773,529,119,0,2,530,23,1.76E-267,821
LJ00_RS30245,MSMEG_6182,Rv3669,NA,0.773,172,38,0,1,169,1,1.24E-84,271
LJ00_RS30985,MSMEG_6331,Rv3756c,proZ,0.773,221,50,0,1,221,1,2.85E-106,339
LJ00_RS03045,MSMEG_0618,Rv0285,PE5,0.773,97,22,0,1,97,1,2.79E-44,151
LJ00_RS30190,MSMEG_6169,Rv3659c,NA,0.773,335,75,0,36,368,1,1.13E-165,517
LJ00_RS00005,MSMEG_0001,Rv0002,dnaN,0.772,399,90,0,2,397,4,4.56E-200,617
LJ00_RS01805,MSMEG_0363,Rv0238,NA,0.772,198,45,0,1,198,1,1.65E-101,322
LJ00_RS03890,MSMEG_0788,Rv0412c,NA,0.772,439,100,0,1,439,1,2.25E-220,678
LJ00_RS05445,MSMEG_1103,Rv0553,menC,0.772,317,72,0,5,321,5,2.98E-158,492
LJ00_RS17255,MSMEG_3508,Rv1191,NA,0.772,299,68,0,1,299,1,1.20E-160,498
LJ00_RS24835,MSMEG_5080,Rv1212c,glgA,0.772,387,88,0,1,387,1,1.31E-200,618
LJ00_RS24625,MSMEG_5038,Rv1256c,cyp130,0.772,403,91,0,1,403,1,1.25E-210,648
LJ00_RS18535,MSMEG_3773,Rv1655,argD,0.772,387,88,0,2,386,10,1.37E-201,621
LJ00_RS19190,MSMEG_3906,Rv2118c,NA,0.772,273,62,0,7,277,4,7.04E-138,431
LJ00_RS09630,MSMEG_1952,Rv3198c,uvrD2,0.772,696,158,0,8,703,4,0,1079
LJ00_RS08365,MSMEG_1694,Rv3309c,upp,0.772,207,47,0,1,207,1,1.82E-107,339
LJ00_RS03895,MSMEG_0790,Rv0413,mutT3,0.771,162,37,0,1,162,12,5.07E-85,272
LJ00_RS24615,MSMEG_5037,Rv1257c,NA,0.771,455,104,0,1,455,1,5.41E-236,724
LJ00_RS24490,MSMEG_5010,Rv1265,NA,0.771,168,38,0,4,171,56,8.92E-82,263
LJ00_RS14470,MSMEG_2943,Rv2594c,ruvC,0.771,188,42,0,1,184,1,5.46E-93,296
LJ00_RS29015,MSMEG_5931,Rv3530c,NA,0.771,258,59,0,1,258,1,4.93E-131,410
LJ00_RS00755,MSMEG_0151,Rv0156,pntAb,0.77,100,23,0,1,100,1,1.37E-45,155
LJ00_RS24660,MSMEG_5045,Rv0161,NA,0.77,444,101,0,9,449,5,2.46E-225,693
LJ00_RS01165,MSMEG_0234,Rv0198c,zmp1,0.77,657,150,0,16,666,7,0,1079
LJ00_RS03055,MSMEG_0620,Rv0287,esxG,0.77,96,22,0,1,96,1,2.09E-44,151
LJ00_RS26575,MSMEG_5439,Rv1009,rpfB,0.77,362,83,0,14,375,1,1.33E-185,574
LJ00_RS15175,MSMEG_3085,Rv1437,pgk,0.77,406,92,0,1,406,1,1.96E-206,636
LJ00_RS14855,MSMEG_3020,Rv2033c,NA,0.77,277,63,0,1,277,1,1.33E-145,453
LJ00_RS20690,MSMEG_4221,Rv2149c,yfiH,0.77,235,53,0,1,233,16,1.54E-115,364
LJ00_RS22395,MSMEG_4579,Rv2419c,gpgP,0.77,226,51,0,1,226,1,1.23E-112,355
LJ00_RS09260,MSMEG_1876,Rv3244c,lpqB,0.77,581,133,0,5,585,3,6.12E-300,916
LJ00_RS29635,MSMEG_6058,Rv3270,ctpC,0.77,705,161,0,1,699,13,0,1082
LJ00_RS02955,MSMEG_0599,Rv0270,fadD2,0.769,560,128,0,1,556,1,4.07E-291,889
LJ00_RS16905,MSMEG_3435,Rv0367c,NA,0.769,126,29,0,1,126,1,5.51E-58,192
LJ00_RS28055,MSMEG_5735,Rv0853c,pdc,0.769,547,126,0,2,548,10,7.25E-283,865
